point,Masked Pair Encoder,GPT-2 causal,3NN,Greedy tree,Greedy tree (sign),XGBoost (sign)
1,1.0265129804611206,1.0234248638153076,1.825728178024292,1.825728178024292,1.825728416442871,1.6517847776412964
2,1.0141983032226562,0.9770209193229676,1.4071627855300903,1.828072190284729,1.828069806098938,2.0589401721954346
3,1.0016841888427734,0.9417681694030762,1.2034857273101809,1.825749158859253,1.904512643814087,2.070168972015381
4,0.9812706112861632,0.9359851479530334,1.182345271110535,1.8121283054351809,1.917526364326477,2.132650136947632
5,0.923394501209259,0.9850578308105468,1.2069212198257446,1.848222732543945,1.9186712503433228,1.853465557098389
6,0.9425767660140992,0.9566742777824402,1.161548376083374,1.800864815711975,1.9026991128921509,1.9361509084701536
7,0.9481784105300904,0.9290916323661804,1.1331015825271606,1.7504167556762695,1.814285159111023,1.6541118621826172
8,0.897761881351471,0.9528206586837769,1.1146841049194336,1.7678996324539185,1.8349426984786987,1.5456794500350952
9,0.8835228681564331,0.8816527128219604,1.1662489175796509,1.7878165245056152,1.768881916999817,1.4827109575271606
10,0.9289427399635316,0.8956575393676758,1.1215224266052246,1.7356483936309814,1.7345134019851685,1.556536078453064
11,0.8636937737464905,0.8554524183273315,1.1361466646194458,1.689562439918518,1.7570829391479492,1.1361325979232788
12,0.837403416633606,0.8687242269515991,1.1427243947982788,1.7951319217681885,1.7402347326278689,1.3640680313110352
13,0.8521785736083984,0.8586128354072571,1.125251293182373,1.7126933336257937,1.611021876335144,1.4658113718032837
14,0.8049712181091309,0.8431399464607239,1.1539132595062256,1.6840858459472656,1.6446187496185305,1.5456644296646118
15,0.8001142144203186,0.7680150270462036,1.112229824066162,1.7632657289505005,1.6588772535324097,1.5071011781692505
16,0.8115054368972778,0.7650864124298096,1.1197837591171265,1.7054638862609863,1.5990843772888184,1.6362520456314087
17,0.8044851422309875,0.7594924569129944,1.1129179000854492,1.7222223281860352,1.5823057889938354,1.2651808261871338
18,0.7322601079940796,0.7285544276237488,1.1114823818206787,1.685584545135498,1.578609585762024,1.2635401487350464
19,0.7517740726470947,0.7432414293289185,1.1307530403137207,1.7091885805130005,1.6067426204681396,1.5245308876037598
20,0.7457833290100098,0.6968398094177246,1.0687310695648191,1.6472716331481934,1.5021542310714722,1.335059642791748
21,0.6865525245666504,0.6648990511894226,1.077472448348999,1.6130621433258057,1.4931074380874634,0.9553655982017516
22,0.6760870814323425,0.7084420919418335,1.1202068328857422,1.5636392831802368,1.3987278938293457,1.1220207214355469
23,0.6647621989250183,0.6447632312774658,1.104553461074829,1.5640543699264526,1.416409254074097,1.146405577659607
24,0.6815945506095886,0.6210147142410278,1.1106491088867188,1.657060980796814,1.4366631507873535,1.0748718976974487
25,0.6250157356262207,0.6122874617576599,1.0909528732299805,1.6053739786148071,1.428170919418335,0.9678385853767396
26,0.6317399144172668,0.6268989443778992,1.125416874885559,1.6334505081176758,1.400290846824646,1.1487222909927368
27,0.5964466333389282,0.5705652236938477,1.078524470329285,1.5520515441894531,1.3428871631622314,1.0945638418197632
28,0.5838171243667603,0.5564004182815552,1.0424643754959106,1.5053904056549072,1.2910702228546145,0.9854831099510192
29,0.5547831654548645,0.5307873487472534,1.077807903289795,1.5693258047103882,1.321705341339111,1.1892846822738647
30,0.5569502115249634,0.5102894306182861,1.095433473587036,1.5605087280273438,1.2923381328582764,0.9179210066795348
31,0.5606815218925476,0.4976715445518493,1.1129953861236572,1.5280768871307373,1.2603213787078855,1.26633620262146
32,0.5048062801361084,0.5139778852462769,1.0766161680221558,1.522279143333435,1.2648403644561768,0.9989473819732666
33,0.5152177214622498,0.4762830734252929,1.0776121616363523,1.506164789199829,1.2564853429794312,1.260906457901001
34,0.4939501285552978,0.4390002191066742,1.0478588342666626,1.4369457960128784,1.2082254886627195,0.8162391185760498
35,0.4568046331405639,0.4400689601898193,1.0567667484283447,1.509284734725952,1.1952886581420898,0.6289771795272827
36,0.4736302495002746,0.4119307398796081,1.044797420501709,1.4954357147216797,1.1418559551239014,0.7339579463005066
37,0.4480135142803192,0.3857698738574981,1.0962480306625366,1.435375452041626,1.1545875072479248,0.8269933462142944
38,0.4329290688037872,0.3807368874549866,1.0803850889205933,1.4487855434417725,1.123588800430298,0.9741482734680176
39,0.428907036781311,0.3629331588745117,1.0588111877441406,1.4347214698791504,1.1395318508148191,0.8514566421508789
40,0.3960500359535217,0.370510995388031,1.0540196895599363,1.431759238243103,1.106378197669983,0.6817682385444641
