point,Masked Pair Encoder,GPT-2 causal,GPT-2 causal std,OLS,3NN,Averaging
0,0.9880565404891968,0.9875452518463135,4.808957237401046e-05,0.9875251054763794,0.9875251054763794,0.9875251054763794
1,0.9782794713973999,0.9765294790267944,0.0027289241552352905,0.9749482274055481,1.9786741733551025,19.9674015045166
2,0.9344267845153809,0.9341191649436951,0.0006679432699456811,0.932349443435669,1.5084624290466309,10.388773918151855
3,0.8847410678863525,0.8850497007369995,0.0016736513935029507,0.8839928507804871,1.3795316219329834,7.30068302154541
4,0.8588327169418335,0.8578200936317444,9.824431617744267e-05,0.8567657470703125,1.2282196283340454,5.53562593460083
5,0.7383583784103394,0.7373973727226257,4.724663449451327e-05,0.7363452315330505,1.0594456195831299,4.219001770019531
6,0.7576500773429871,0.7580904960632324,0.0024579199962317944,0.7551648616790771,1.1215882301330566,3.5349550247192383
7,0.6912592649459839,0.6890363693237305,0.002281324705109,0.6892967224121094,1.0261931419372559,2.9618148803710938
8,0.6509410738945007,0.6476672291755676,9.803356806514785e-05,0.6469147801399231,0.9524706602096558,2.7699503898620605
9,0.6122113466262817,0.6110312938690186,0.0010151067981496453,0.6094818711280823,0.9454584121704102,2.468424081802368
10,0.5697145462036133,0.5650300979614258,0.0009249125723727047,0.5641351342201233,0.91786128282547,2.1971302032470703
11,0.5515580177307129,0.5490648746490479,0.0009573656716383994,0.548707127571106,0.9535204768180847,1.9591343402862549
12,0.5127914547920227,0.510047435760498,2.562528425187338e-05,0.5088014602661133,0.904534101486206,1.7487435340881348
13,0.4954472780227661,0.49253734946250916,0.00015255052130669355,0.4934728443622589,0.8953850269317627,1.664777159690857
14,0.47846195101737976,0.47527939081192017,0.0008608915377408266,0.47646835446357727,0.8816602230072021,1.5355536937713623
15,0.45485803484916687,0.4594402313232422,0.0038723470643162727,0.4639115333557129,0.8840546011924744,1.4725944995880127
16,0.45399436354637146,0.465744286775589,0.006806821562349796,0.47554391622543335,0.8583251237869263,1.363614559173584
17,0.4860658645629883,0.5297207236289978,0.03241459280252457,0.5961871147155762,0.8533006310462952,1.308847188949585
18,0.5050178170204163,0.6006292700767517,0.07300550490617752,0.8267107009887695,0.8238316178321838,1.2739126682281494
19,0.5674929022789001,0.7883889079093933,0.1578570157289505,3.2166004180908203,0.8566799163818359,1.1517069339752197
20,0.5563902258872986,0.9340367317199707,0.30840885639190674,10292.9765625,0.8498766422271729,1.0706369876861572
21,0.5069372653961182,0.7721880078315735,0.27390149235725403,6.126741886138916,0.7811379432678223,1.0984067916870117
22,0.449066162109375,0.5859678983688354,0.18244105577468872,1.0574597120285034,0.7743371725082397,1.0248570442199707
23,0.38380277156829834,0.45244935154914856,0.12219998240470886,0.5532984137535095,0.8129978775978088,0.9933146238327026
24,0.31339001655578613,0.35673898458480835,0.07790465652942657,0.350897878408432,0.768821120262146,0.8982961177825928
25,0.2701827883720398,0.2994422912597656,0.059421662241220474,0.2852343022823334,0.7705303430557251,0.9105542898178101
26,0.23717360198497772,0.26005101203918457,0.03588367998600006,0.2326357066631317,0.7845463156700134,0.8519385457038879
27,0.2118961066007614,0.2385203242301941,0.026012465357780457,0.20513629913330078,0.7425722479820251,0.8308789730072021
28,0.18611110746860504,0.20970046520233154,0.01441840548068285,0.1759948879480362,0.7863870859146118,0.7888578176498413
29,0.17811895906925201,0.20421487092971802,0.012421202845871449,0.16971372067928314,0.7607424259185791,0.7543489933013916
30,0.16212356090545654,0.1880996823310852,0.0037714368663728237,0.1545991152524948,0.7697721719741821,0.7569506764411926
31,0.15044502913951874,0.1763327717781067,0.005277923308312893,0.13845424354076385,0.7586174011230469,0.7126138210296631
32,0.14594922959804535,0.1775103658437729,0.00044679874554276466,0.13945500552654266,0.7376888990402222,0.6949612498283386
33,0.13680772483348846,0.16575801372528076,0.0066646914929151535,0.13102693855762482,0.7557011246681213,0.6999824643135071
34,0.13036157190799713,0.16057422757148743,0.004587642382830381,0.12156990170478821,0.7330769300460815,0.6646990776062012
35,0.12436860799789429,0.15600943565368652,0.006611133459955454,0.1172550767660141,0.753724217414856,0.6313738822937012
36,0.12112044543027878,0.14687223732471466,0.003929919563233852,0.11042919754981995,0.6870934367179871,0.62245774269104
37,0.11529320478439331,0.14176900684833527,0.006606887094676495,0.10589920729398727,0.7022198438644409,0.5894873738288879
38,0.11539657413959503,0.14248286187648773,0.010011867620050907,0.10362441837787628,0.753553569316864,0.6249094605445862
39,0.11084534227848053,0.13744066655635834,0.007900700904428959,0.10177873075008392,0.6890910267829895,0.6073904633522034
40,0.10537455976009369,0.13179606199264526,0.011387883685529232,0.09448905289173126,0.7355774641036987,0.566558301448822
