point,Masked Pair Encoder,GPT-2 causal,GPT-2 causal std,OLS,3NN,Averaging
0,0.9841998815536499,0.9836829304695129,4.8679627070669085e-05,0.9836615324020386,0.9836615324020386,0.9836615324020386
1,0.9755342602729797,0.9738695025444031,0.0027153107803314924,0.9723419547080994,1.9747471809387207,19.92772674560547
2,0.9300754070281982,0.9297773838043213,0.0007159485248848796,0.9280664324760437,1.5006321668624878,10.340295791625977
3,0.8818339109420776,0.8821725845336914,0.0017340477788820863,0.8811146020889282,1.3740061521530151,7.242597579956055
4,0.8551214337348938,0.8543136119842529,8.888771117199212e-05,0.8532359600067139,1.222273826599121,5.503981590270996
5,0.7365432977676392,0.7357051372528076,0.00017870264127850533,0.7346222400665283,1.057152509689331,4.195246696472168
6,0.7550878524780273,0.7554366588592529,0.0024442642461508512,0.7525456547737122,1.11585533618927,3.5205841064453125
7,0.6894919872283936,0.6873531341552734,0.0021880536805838346,0.6875472664833069,1.0216188430786133,2.9457061290740967
8,0.6490848064422607,0.6457896828651428,0.0001846031955210492,0.645115315914154,0.9498801231384277,2.757256507873535
9,0.6104854345321655,0.6092591881752014,0.0010880629997700453,0.607751727104187,0.9421933889389038,2.455681085586548
10,0.5677891969680786,0.563170850276947,0.0008544852025806904,0.5622527599334717,0.9148786067962646,2.186312675476074
11,0.5506939888000488,0.5482152104377747,0.0009887228952720761,0.5478375554084778,0.9505488872528076,1.9498653411865234
12,0.511915385723114,0.5091167688369751,0.00013347907224670053,0.5078931450843811,0.9018611907958984,1.7385337352752686
13,0.49299073219299316,0.4902689456939697,0.00021914254466537386,0.49111276865005493,0.8920470476150513,1.6531397104263306
14,0.47758233547210693,0.47431573271751404,0.0009365451405756176,0.47547462582588196,0.8800623416900635,1.5312552452087402
15,0.45365360379219055,0.45827117562294006,0.0038154067005962133,0.46267738938331604,0.8816479444503784,1.4676915407180786
16,0.45328643918037415,0.4648119807243347,0.006632502190768719,0.4744657278060913,0.854849636554718,1.355545997619629
17,0.4863241910934448,0.5296362638473511,0.03226998820900917,0.5947094559669495,0.8508595824241638,1.3029896020889282
18,0.5045626759529114,0.5996804237365723,0.0727405697107315,0.8249635696411133,0.8222007155418396,1.268231987953186
19,0.5670092105865479,0.788165807723999,0.15794877707958221,3.184854507446289,0.8544164896011353,1.1463830471038818
20,0.5557867288589478,0.9334372282028198,0.3090781271457672,11272.9072265625,0.8471903800964355,1.0671114921569824
21,0.505810022354126,0.7703542709350586,0.27390649914741516,6.190682411193848,0.7791774272918701,1.092389464378357
22,0.44832658767700195,0.5854282379150391,0.18208999931812286,1.0512382984161377,0.7733538150787354,1.0194367170333862
23,0.38319098949432373,0.4518418610095978,0.12203430384397507,0.5550128221511841,0.810955286026001,0.9881265163421631
24,0.3121640086174011,0.35559937357902527,0.07813046127557755,0.34987902641296387,0.76676344871521,0.8952832818031311
25,0.2702009677886963,0.29959413409233093,0.05920875817537308,0.2846975326538086,0.7664406299591064,0.9055874347686768
26,0.2369367629289627,0.25974035263061523,0.03573380410671234,0.23253776133060455,0.7811537981033325,0.8470557928085327
27,0.21138067543506622,0.23808839917182922,0.025731198489665985,0.20457541942596436,0.7401047348976135,0.826542317867279
28,0.18571020662784576,0.20964458584785461,0.014443904161453247,0.17592397332191467,0.7832201719284058,0.7856860756874084
29,0.17802000045776367,0.2040574997663498,0.012531322427093983,0.16956278681755066,0.7582300305366516,0.7493677139282227
30,0.16184106469154358,0.18753966689109802,0.004023285582661629,0.15405306220054626,0.7668771743774414,0.7534826397895813
31,0.15036803483963013,0.17646479606628418,0.005248557776212692,0.1387224942445755,0.7564415335655212,0.7106056809425354
32,0.14612382650375366,0.1774367094039917,0.00035373849095776677,0.13941910862922668,0.7371078133583069,0.6925684213638306
33,0.13654311001300812,0.16566817462444305,0.006488296668976545,0.1310049593448639,0.7534069418907166,0.6967179775238037
34,0.12993009388446808,0.1604902446269989,0.004549299366772175,0.12153057008981705,0.7308570146560669,0.6609903573989868
35,0.12431792914867401,0.1555296778678894,0.006476600654423237,0.11690793931484222,0.7527656555175781,0.6281418800354004
36,0.12082087993621826,0.14667028188705444,0.003950097598135471,0.1101483628153801,0.684665858745575,0.6203499436378479
37,0.11515478789806366,0.14145386219024658,0.00673397071659565,0.10565318167209625,0.6999910473823547,0.5881869196891785
38,0.11559745669364929,0.1423521786928177,0.009889431297779083,0.10358622670173645,0.7523918747901917,0.6214444041252136
39,0.11058627814054489,0.13712993264198303,0.0077590979635715485,0.10159564763307571,0.6878982186317444,0.6048952341079712
40,0.10535583645105362,0.13162171840667725,0.011329589411616325,0.09453342109918594,0.7329521775245667,0.5643928050994873
