point,masked_pair_encoder,gpt2_causal_mean,gpt2_causal_std,ols,nn3
0,1.0001192092895508,0.9948086261749268,0.03261511955654312,0.9999247550964355,0.9999247550964355
1,0.9529273986816407,0.9155376434326172,0.028924876370844444,0.9485702514648438,2.018118476867676
2,0.9268018722534179,0.9017855644226074,0.01666290828743658,0.924310302734375,1.5301769256591797
3,0.8532947540283203,0.8515630245208741,0.0043338424211994495,0.8510834693908691,1.3408391952514649
4,0.8001199722290039,0.8115043640136719,0.0030206814915151167,0.7982462882995606,1.1944779396057128
5,0.7559475898742676,0.7519744396209718,0.016638968877482393,0.754548454284668,1.1253512382507325
6,0.7069752216339111,0.7243438482284545,0.006974561644019186,0.7061708927154541,1.0590754508972169
7,0.6479593753814697,0.6234956979751587,0.011218176091926484,0.6460318565368652,0.9950843811035156
8,0.6127716541290283,0.5988299608230592,0.001966504516560714,0.6105054378509521,0.9682764053344727
9,0.5636466026306153,0.5346675634384155,0.020938116012987625,0.5605318069458007,0.9666547775268555
10,0.5038187503814697,0.49919409751892085,0.012622475366830593,0.5021468162536621,0.9252870559692383
11,0.4547712326049805,0.455639910697937,0.0058352480350726986,0.45238232612609863,0.8941545486450195
12,0.4009061336517334,0.40280129909515383,0.001399241653082881,0.3990920066833496,0.8871359825134277
13,0.35221550464630125,0.3545604109764099,0.006768868164546604,0.3488980770111084,0.8418251037597656
14,0.3003415584564209,0.3040522813796997,0.004414123738242954,0.2976438283920288,0.8394377708435059
15,0.24974436759948732,0.2523190140724182,0.0010991729504247355,0.24671289920806885,0.8288408279418945
16,0.20122687816619872,0.2005736768245697,0.0017266805191640166,0.1972515821456909,0.8442792892456055
17,0.15682780742645264,0.1550994634628296,0.0019418570395515313,0.15131871700286864,0.8428501129150391
18,0.11073521375656128,0.1019377887248993,0.0045150485816871444,0.10037598609924317,0.8091032028198242
19,0.07090620994567871,0.05983672738075256,0.000992440271255727,0.05158764123916626,0.8122627258300781
20,0.03822932243347168,0.02174443006515503,0.0017784431711626624,2.6693473387240373e-08,0.7936964988708496
21,0.018840248882770538,0.0090012077242136,0.001326485129005336,3.5622498006926406e-12,0.7864553451538085
22,0.008759476244449615,0.004342613182961941,0.0008327835309938034,7.786230861450694e-13,0.7909702301025391
23,0.004476392269134521,0.0025890167802572247,0.0006744235965770017,4.3505789248943214e-13,0.7627093315124511
24,0.0025074375793337823,0.0019768089056015014,0.00039835752414579475,3.1988968765550575e-13,0.7666871547698975
25,0.0015755828469991684,0.0014669124037027359,0.0002700891224767558,2.4043943919194176e-13,0.7481329917907715
26,0.0011311071924865247,0.001219363324344158,0.00015367570733152013,2.090871963414398e-13,0.755922269821167
27,0.0009166141971945763,0.0010795943904668092,0.00015283336305135946,1.7592204819630308e-13,0.7584508895874024
28,0.0006923770066350699,0.0009284381289035083,9.752247324369414e-05,1.6193395365945996e-13,0.7527771472930909
29,0.0005646723788231611,0.0008749497355893254,0.0001343966522241992,1.4895747395965441e-13,0.7359621047973632
30,0.0004927804693579674,0.0007916506612673402,9.799507770984789e-05,1.3656016421836891e-13,0.7333765029907227
31,0.0005480961874127388,0.0007672661915421486,0.00013147090361135887,1.296066986372635e-13,0.7268913269042969
32,0.00042676916345953944,0.0006814263062551618,8.154878473083988e-05,1.3844934313583802e-13,0.7137575149536133
33,0.00039545199833810327,0.0006759489886462688,7.867697091320345e-05,1.324406730118799e-13,0.7061652183532715
34,0.0003559142118319869,0.0006367867346853018,0.00012088282501201273,1.2694622913630993e-13,0.7152524948120117
35,0.0003428742056712508,0.0006076062796637416,0.00010669938974410955,1.2144402237318496e-13,0.7214091300964356
36,0.0007929022423923016,0.0006068405695259571,9.36464778330602e-05,1.1422982785364022e-13,0.716189956665039
37,0.0003308210987597704,0.000562202325090766,8.524088158761964e-05,1.1293582171875704e-13,0.7124584197998047
38,0.0003024278441444039,0.0005785044748336076,9.336442322029126e-05,1.0945458948918852e-13,0.6965875625610352
39,0.0004500607959926128,0.0005470002070069313,7.43429577972676e-05,1.0638059443762727e-13,0.6971031665802002
40,0.0005452833138406277,0.0005305356811732054,8.04709120073992e-05,1.0111214166289018e-13,0.7002146720886231
